['220609202001.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+061.00', '25.55555555']
['220609202002.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+062.00', '25.55555555']
['220609202003.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+063.00', '25.55555555']
['220609203749.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+066.00', '25.55555555']
['220609203749.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+066.00', '25.55555555']
['220609202000.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+060.00', '25.55555555']
['220609202001.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+061.00', '25.55555555']
['220609202002.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+062.00', '25.55555555']
['220609202003.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+063.00', '25.55555555']
['220609202004.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+064.00', '25.55555555']
['220609202005.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+065.00', '25.55555555']
['220609202006.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+066.00', '25.55555555']
['220609202007.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+067.00', '25.55555555']
['220609202008.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+068.00', '25.55555555']
['220609202009.00', '5211.11D', '10622.22D', '00033.33', '44', '555.55', '6', '+057.77', '+058.88', '+069.00', '25.55555555']
['220612150200.26', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.04', '+053.69', '43.09896851']
['220612150202.44', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.04', '+053.69', '43.09133911']
['220612150204.64', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.08', '+053.15', '43.09133911']
['220612150205.95', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.04', '+053.69', '43.08370972']
['220612150207.24', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.04', '+053.15', '43.07608032']
['220612150208.52', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.04', '+053.15', '43.09133911']
['220612150209.81', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.04', '+053.69', '43.09133911']
['220612150211.14', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.04', '+053.69', '43.09896851']
['220612150212.39', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.04', '+053.69', '43.09133911']
['220612150213.64', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.04', '+024.08', '+053.69', '43.07608032']
['220612150214.96', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.04', '+053.15', '43.09896851']
['220612150216.22', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.04', '+053.69', '43.09896851']
['220612150217.52', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.04', '+053.15', '43.09133911']
['220612150218.82', '5207.9N', '10637.96W', 'XXXXX.XX', '00', 'XXX.XX', '7', '+024.01', '+024.04', '+053.69', '43.09896851']
